product,locale,display_name,description
monthly,cs,Historiq Pro Měsíčně,Odemkněte plný zážitek Historiq
monthly,el,Historiq Pro Μηνιαίο,Ξεκλειδώστε την πλήρη εμπειρία Historiq
monthly,hu,Historiq Pro Havi,Oldja fel a teljes Historiq-élményt
monthly,ms,Historiq Pro Bulanan,Buka pengalaman penuh Historiq
monthly,it,Historiq Pro Mensile,Sblocchi l'esperienza completa Historiq
monthly,da,Historiq Pro Månedlig,Lås op for hele Historiq-oplevelsen
monthly,zh-Hans,Historiq Pro 月度版,解锁完整的Historiq体验
monthly,zh-Hant,Historiq Pro 月費版,解鎖完整的Historiq體驗
monthly,ru,Historiq Pro Ежемесячно,Откройте весь функционал Historiq
monthly,es-ES,Historiq Pro Mensual,Desbloquee la experiencia Historiq
monthly,sk,Historiq Pro Mesačne,Odomknite plný zážitok Historiq
monthly,uk,Historiq Pro Щомісяця,Відкрийте повний функціонал Historiq
monthly,vi,Historiq Pro Hàng Tháng,Mở khóa toàn bộ trải nghiệm Historiq
annual,no,Historiq Pro Årlig,Beste verdi – spar 58 % vs månedlig
annual,pt-PT,Historiq Pro Anual,Melhor valor – poupe 58% vs mensal
annual,ro,Historiq Pro Anual,Cea mai bună valoare – 58% economie
annual,hr,Historiq Pro Godišnje,Najbolja vrijednost – uštedite 58 %
annual,fi,Historiq Pro Vuosittain,Paras arvo – säästä 58 % vs kk
annual,he,Historiq Pro שנתי,הערך הטוב ביותר – חסוך 58% לעומת חודשי
annual,ca,Historiq Pro Anual,Millor preu – estalvia 58% vs mensual
annual,cs,Historiq Pro Ročně,Nejlepší hodnota – ušetřete 58 % vs měs.
annual,el,Historiq Pro Ετήσιο,Καλύτερη αξία – εξοικονομήστε 58%
annual,hu,Historiq Pro Éves,Legjobb ár – takarítson meg 58%-ot
annual,ms,Historiq Pro Tahunan,Nilai terbaik – jimat 58% vs bulanan
annual,it,Historiq Pro Annuale,Miglior valore – risparmi il 58% vs mens.
annual,da,Historiq Pro Årlig,Bedste værdi – spar 58 % vs månedlig
annual,zh-Hans,Historiq Pro 年度版,最佳价值 – 比月付节省58%
annual,zh-Hant,Historiq Pro 年費版,最佳價值 – 比月付節省58%
annual,ru,Historiq Pro Ежегодно,Лучшая цена – экономия 58% vs месяц
annual,es-ES,Historiq Pro Anual,Mejor precio – ahorre un 58% vs mensual
annual,sk,Historiq Pro Ročne,Najlepšia hodnota – ušetrite 58% vs mes.
annual,uk,Historiq Pro Щороку,Найкраща ціна – економія 58% vs місяць
annual,vi,Historiq Pro Hàng Năm,Tiết kiệm 58% so với gói tháng
